# scheme: StandardCentral
# effective_scheme: StandardCentral
# xGrid: 200
# tGrid: 0
# r: 0.05
# q: 0
# sigma: sweep
# sigmaMin: 0.001
# sigmaMax: 0.5
# nSigma: 50
# sweepSpacing: log
# strike: 100
# maturity: 1
# mMatrixPolicy: None
# mesh: Uniform1dMesher
# h: 0.0069663033222105
sigma,a_eff,a_base,ratio
0.001,5.00000000000001e-07,5e-07,1
0.00113522257916955,6.44365152128175e-07,6.44365152128183e-07,0.999999999999987
0.00128873030425637,8.30412898554345e-07,8.30412898554353e-07,0.99999999999999
0.00146299573985187,1.07017826741236e-06,1.07017826741236e-06,1
0.00166082579710871,1.37917116417089e-06,1.37917116417089e-06,1
0.00188540694494507,1.77737967402356e-06,1.77737967402355e-06,1
0.00214035653482473,2.29056304808345e-06,2.29056304808346e-06,0.999999999999996
0.00242978106580613,2.95191801387499e-06,2.95191801387498e-06,1
0.00275834232834177,3.80422620016096e-06,3.80422620016095e-06,1
0.00313133249221269,4.90262158839348e-06,4.90262158839347e-06,1
0.00355475934804711,6.31815701126415e-06,6.31815701126415e-06,1
0.00403544307541711,8.14240040746593e-06,8.14240040746594e-06,0.999999999999999
0.00458112609616691,1.04933581544907e-05,1.04933581544907e-05,1
0.00520059778239154,1.35231086471079e-05,1.35231086471079e-05,0.999999999999999
0.00590383602774997,1.74276399212792e-05,1.74276399212792e-05,1
0.00670216796241643,2.24595276982206e-05,2.24595276982206e-05,1
0.00760845240032191,2.89442739639821e-05,2.89442739639821e-05,1
0.0086372869573822,3.73013629920823e-05,3.73013629920823e-05,1
0.00980524317678694,4.80713968779634e-05,4.80713968779634e-05,1
0.0111311334485367,6.19510659245663e-05,6.19510659245663e-05,1
0.0126363140225283,7.98382160379726e-05,7.98382160379726e-05,1
0.0143450289958509,0.000102889928445902,0.000102889928445902,1
0.0162848008149319,0.000132597368791003,0.000132597368791003,1
0.0184868735823894,0.000170882247425623,0.000170882247425623,1
0.0209867163089815,0.000220221130716835,0.000220221130716835,1
0.0238245942165816,0.000283805644792388,0.000283805644792388,1
0.0270462172942158,0.000365748934962968,0.000365748934962968,1
0.0307034765535197,0.000471351736236267,0.000471351736236267,1
0.0348552798425585,0.000607445266451532,0.000607445266451532,1
0.0395685006805457,0.000782833123053173,0.000782833123053173,1
0.0449190553964412,0.00100886076885428,0.00100886076885428,1
0.0509931259210079,0.00130014944559788,0.00130014944559788,1
0.0578885479279642,0.00167554199060411,0.00167554199060411,1
0.0657163866831637,0.00215932173934555,0.00215932173934555,1
0.0746027259841646,0.00278278336213418,0.00278278336213418,1
0.0846906990048227,0.00358625724896273,0.00358625724896273,1
0.0961427937559269,0.00462171839559735,0.00462171839559735,1
0.109143470296169,0.00595614855414541,0.00595614855414541,1
0.123902131849133,0.00767586913837993,0.00767586913837993,1
0.140656497682378,0.00989212517013642,0.00989212517013642,1
0.159676432075945,0.012748281480252,0.012748281480252,1
0.181268291053846,0.0164290966707909,0.0164290966707909,1
0.205779856891804,0.0211726747512056,0.0211726747512056,1
0.233605939881855,0.0272858675740424,0.0272858675740424,1
0.265194737582006,0.0351641244205945,0.0351641244205945,1
0.301055053980037,0.0453170727634615,0.0453170727634615,1
0.341764494851246,0.0584014849704637,0.0584014849704637,1
0.38797877131361,0.0752637634950092,0.0752637634950092,1
0.44044226143367,0.0969946928284025,0.0969946928284025,1
0.5,0.125,0.125,1
