# scheme: N/A
# effective_scheme: N/A
# xGrid: N/A
# tGrid: N/A
# r: 0.05
# q: 0
# sigma: 0.001
# strike: 100
# maturity: 1
# mMatrixPolicy: N/A
# mesh: N/A
# lower_barrier: 95
# upper_barrier: 110
# n_monitoring: 5
# num_paths: 5000000
# min_price_threshold: none (all spots included)
S0,price,standard_error,num_paths
95,0.00438944841269429,8.08035750407543e-06,5000000
95.5,0.377023378896259,4.27028682256496e-05,5000000
96,0.877084315810972,4.29381768268941e-05,5000000
96.5,1.37703172583928,4.31500436299939e-05,5000000
97,1.87706581245956,4.33754639656165e-05,5000000
97.5,2.37706974338437,4.35935116388507e-05,5000000
98,2.87712899214363,4.38153504868305e-05,5000000
98.5,3.37710999429008,4.40335256415164e-05,5000000
99,3.8771286062816,4.42313384556096e-05,5000000
99.5,4.37707479650568,4.44780920329308e-05,5000000
100,4.87707620416753,4.47370306157539e-05,5000000
100.5,5.37708875395513,4.49660006661786e-05,5000000
101,5.87690469553969,4.51618809409042e-05,5000000
101.5,6.37704887860001,4.53972845306404e-05,5000000
102,6.87710011130672,4.56105677727628e-05,5000000
102.5,7.37706030487086,4.58343162293114e-05,5000000
103,7.87700368481414,4.60765243911573e-05,5000000
103.5,8.37704281347991,4.6282921937919e-05,5000000
104,8.87702015425333,4.64783846120149e-05,5000000
104.5,8.44162049255523,0.00124374613017056,5000000
105,0.0022461735797701,6.5270579828356e-05,5000000
105.5,0,0,5000000
106,0,0,5000000
106.5,0,0,5000000
107,0,0,5000000
107.5,0,0,5000000
108,0,0,5000000
108.5,0,0,5000000
109,0,0,5000000
109.5,0,0,5000000
110,0,0,5000000
