# scheme: N/A
# effective_scheme: N/A
# xGrid: N/A
# tGrid: N/A
# r: N/A
# q: N/A
# sigma: N/A
# strike: N/A
# maturity: N/A
# mMatrixPolicy: N/A
# mesh: N/A
# experiment: xcothx
# xSmall: 1e-06
# xLarge: 50
Pe,xCothx,abs_Pe
-100,100,100
-99,99,99
-98,98,98
-97,97,97
-96,96,96
-95,95,95
-94,94,94
-93,93,93
-92,92,92
-91,91,91
-90,90,90
-89,89,89
-88,88,88
-87,87,87
-86,86,86
-85,85,85
-84,84,84
-83,83,83
-82,82,82
-81,81,81
-80,80,80
-79,79,79
-78,78,78
-77,77,77
-76,76,76
-75,75,75
-74,74,74
-73,73,73
-72,72,72
-71,71,71
-70,70,70
-69,69,69
-68,68,68
-67,67,67
-66,66,66
-65,65,65
-64,64,64
-63,63,63
-62,62,62
-61,61,61
-60,60,60
-59,59,59
-58,58,58
-57,57,57
-56,56,56
-55,55,55
-54,54,54
-53,53,53
-52,52,52
-51,51,51
-50,50,50
-49.9,49.9,49.9
-49.8,49.8,49.8
-49.7,49.7,49.7
-49.6,49.6,49.6
-49.5,49.5,49.5
-49.4,49.4,49.4
-49.3,49.3,49.3
-49.2,49.2,49.2
-49.1,49.1,49.1
-49,49,49
-48.9,48.9,48.9
-48.8,48.8,48.8
-48.7,48.7,48.7
-48.6,48.6,48.6
-48.5,48.5,48.5
-48.4,48.4,48.4
-48.3,48.3,48.3
-48.2,48.2,48.2
-48.1,48.1,48.1
-48,48,48
-47.9,47.9,47.9
-47.8,47.8,47.8
-47.7,47.7,47.7
-47.6,47.6,47.6
-47.5,47.5,47.5
-47.4,47.4,47.4
-47.3,47.3,47.3
-47.2,47.2,47.2
-47.1,47.1,47.1
-47,47,47
-46.9,46.9,46.9
-46.8,46.8,46.8
-46.7,46.7,46.7
-46.6,46.6,46.6
-46.5,46.5,46.5
-46.3999999999999,46.3999999999999,46.3999999999999
-46.2999999999999,46.2999999999999,46.2999999999999
-46.1999999999999,46.1999999999999,46.1999999999999
-46.0999999999999,46.0999999999999,46.0999999999999
-45.9999999999999,45.9999999999999,45.9999999999999
-45.8999999999999,45.8999999999999,45.8999999999999
-45.7999999999999,45.7999999999999,45.7999999999999
-45.6999999999999,45.6999999999999,45.6999999999999
-45.5999999999999,45.5999999999999,45.5999999999999
-45.4999999999999,45.4999999999999,45.4999999999999
-45.3999999999999,45.3999999999999,45.3999999999999
-45.2999999999999,45.2999999999999,45.2999999999999
-45.1999999999999,45.1999999999999,45.1999999999999
-45.0999999999999,45.0999999999999,45.0999999999999
-44.9999999999999,44.9999999999999,44.9999999999999
-44.8999999999999,44.8999999999999,44.8999999999999
-44.7999999999999,44.7999999999999,44.7999999999999
-44.6999999999999,44.6999999999999,44.6999999999999
-44.5999999999999,44.5999999999999,44.5999999999999
-44.4999999999999,44.4999999999999,44.4999999999999
-44.3999999999999,44.3999999999999,44.3999999999999
-44.2999999999999,44.2999999999999,44.2999999999999
-44.1999999999999,44.1999999999999,44.1999999999999
-44.0999999999999,44.0999999999999,44.0999999999999
-43.9999999999999,43.9999999999999,43.9999999999999
-43.8999999999999,43.8999999999999,43.8999999999999
-43.7999999999999,43.7999999999999,43.7999999999999
-43.6999999999999,43.6999999999999,43.6999999999999
-43.5999999999999,43.5999999999999,43.5999999999999
-43.4999999999999,43.4999999999999,43.4999999999999
-43.3999999999999,43.3999999999999,43.3999999999999
-43.2999999999999,43.2999999999999,43.2999999999999
-43.1999999999999,43.1999999999999,43.1999999999999
-43.0999999999999,43.0999999999999,43.0999999999999
-42.9999999999999,42.9999999999999,42.9999999999999
-42.8999999999999,42.8999999999999,42.8999999999999
-42.7999999999999,42.7999999999999,42.7999999999999
-42.6999999999999,42.6999999999999,42.6999999999999
-42.5999999999999,42.5999999999999,42.5999999999999
-42.4999999999999,42.4999999999999,42.4999999999999
-42.3999999999999,42.3999999999999,42.3999999999999
-42.2999999999999,42.2999999999999,42.2999999999999
-42.1999999999999,42.1999999999999,42.1999999999999
-42.0999999999999,42.0999999999999,42.0999999999999
-41.9999999999999,41.9999999999999,41.9999999999999
-41.8999999999999,41.8999999999999,41.8999999999999
-41.7999999999999,41.7999999999999,41.7999999999999
-41.6999999999999,41.6999999999999,41.6999999999999
-41.5999999999999,41.5999999999999,41.5999999999999
-41.4999999999999,41.4999999999999,41.4999999999999
-41.3999999999999,41.3999999999999,41.3999999999999
-41.2999999999999,41.2999999999999,41.2999999999999
-41.1999999999999,41.1999999999999,41.1999999999999
-41.0999999999999,41.0999999999999,41.0999999999999
-40.9999999999999,40.9999999999999,40.9999999999999
-40.8999999999999,40.8999999999999,40.8999999999999
-40.7999999999999,40.7999999999999,40.7999999999999
-40.6999999999999,40.6999999999999,40.6999999999999
-40.5999999999999,40.5999999999999,40.5999999999999
-40.4999999999999,40.4999999999999,40.4999999999999
-40.3999999999999,40.3999999999999,40.3999999999999
-40.2999999999999,40.2999999999999,40.2999999999999
-40.1999999999999,40.1999999999999,40.1999999999999
-40.0999999999999,40.0999999999999,40.0999999999999
-39.9999999999999,39.9999999999999,39.9999999999999
-39.8999999999999,39.8999999999999,39.8999999999999
-39.7999999999999,39.7999999999999,39.7999999999999
-39.6999999999999,39.6999999999999,39.6999999999999
-39.5999999999999,39.5999999999999,39.5999999999999
-39.4999999999999,39.4999999999999,39.4999999999999
-39.3999999999998,39.3999999999998,39.3999999999998
-39.2999999999998,39.2999999999998,39.2999999999998
-39.1999999999998,39.1999999999998,39.1999999999998
